location,latitude,longitude,zone,property_type,bhk,total_sqft,price_per_sqft,price_2021,price_2022,price_2023,price_2024,price_2025,annual_growth_rate_pct,metro_access,distance_to_it_hub_km,kiii,distance_to_airport_km
Koramangala,12.9351,77.6206,South,Apartment,3,1920,21300,13334,14589,16551,18776,21300,13.84,No,4.9,4.8,41.1
HSR Layout,12.9129,77.6409,South,Apartment,3,2060,14450,8398,9323,10789,12486,14450,17.48,No,6.2,7.7,39.7
JP Nagar,12.904,77.5884,South,Apartment,3,2100,8800,6362,6769,7388,8063,8800,9.84,Yes,8.4,7.1,38.4
Nagarbhavi,12.9649,77.5057,West,Apartment,1,460,6250,5095,5297,5597,5915,6250,4.84,No,19.1,7.5,40.9
JP Nagar,12.9079,77.5888,South,Apartment,1,610,10250,7411,7885,8606,9392,10250,10.5,Yes,9.5,6.1,39.5
KR Puram,13.0096,77.6962,East,Apartment,2,1160,9000,4733,5358,6369,7571,9000,20.96,Yes,6,7.3,33.5
Marathahalli,12.9577,77.6992,East,Apartment,3,1860,9750,6156,6724,7611,8614,9750,14.13,No,2.9,9.3,42.5
Kanakapura Road,12.8649,77.5841,South,Apartment,1,670,7950,5484,5888,6508,7193,7950,9.83,Yes,8.8,8.5,46.4
Anjanapura,12.8538,77.5731,South,Apartment,1,470,6150,4714,4959,5328,5724,6150,6.33,No,11.8,9.6,45.5
Anjanapura,12.8525,77.5705,South,Apartment,3,1490,5850,4484,4717,5068,5445,5850,8.17,No,12.7,9.4,47.3
Manyata Tech Park,13.0486,77.6189,North,Apartment,2,1200,12750,8408,9107,10188,11397,12750,10.4,No,0.5,7.3,17.8
Anjanapura,12.8514,77.5653,South,Villa,2,880,6050,4637,4878,5241,5631,6050,7.27,No,13.1,9.3,46.7
MG Road,12.9757,77.6039,Central,Apartment,2,1230,15750,12838,13348,14105,14905,15750,5.68,Yes,11.6,2.9,36.3
ITPL,12.9841,77.7257,East,Apartment,2,1160,10700,6814,7431,8391,9475,10700,14.71,No,1.5,13.4,42.2
Hulimavu,12.8944,77.6122,South,Villa,1,540,7750,5603,5961,6506,7101,7750,8.22,No,7.6,7.3,46.1
Bannerghatta Road,12.8752,77.6012,South,Builder Floor,3,1480,9900,6198,6781,7693,8727,9900,11.77,No,8,6,43.8
Indiranagar,12.9805,77.6435,East,Apartment,4,2030,20900,14032,15145,16861,18772,20900,10.61,Yes,6.3,4,39
Electronic City,12.8495,77.6561,South,Apartment,2,1140,7400,4593,5034,5724,6508,7400,12.67,No,0.8,16.9,56.1
Rajarajeshwari Nagar,12.9256,77.5054,West,Apartment,2,1260,6900,5237,5520,5946,6405,6900,7.24,Yes,14.7,8.9,40.8
Manyata Tech Park,13.0499,77.622,North,Apartment,3,1630,12350,8145,8822,9869,11040,12350,13.32,No,0.5,7,20.9
Malleshwaram,13.0044,77.5664,North,Builder Floor,2,1030,14000,12730,12962,13299,13645,14000,2.36,Yes,13.9,3.5,29.5
Indiranagar,12.9821,77.6443,East,Apartment,4,2190,19900,13360,14420,16054,17874,19900,11.61,Yes,7.3,4.4,38.7
Whitefield,12.9717,77.7494,East,Villa,1,660,15150,6572,7729,9673,12106,15150,21.52,Yes,2.2,15.8,42.7
MG Road,12.9768,77.5998,Central,Villa,2,1300,15450,12593,13093,13836,14621,15450,5.41,Yes,12.2,2.9,37.4
Koramangala,12.9353,77.6206,South,Apartment,3,1920,21950,13742,15035,17056,19349,21950,14.5,No,5.4,4.9,41.4
Yelahanka,13.1015,77.5971,North,Apartment,4,2560,11250,6434,7165,8328,9679,11250,16.33,No,23.5,5,13.3
