location,latitude,longitude,zone,property_type,bhk,total_sqft,price_per_sqft,price_2021,price_2022,price_2023,price_2024,price_2025,annual_growth_rate_pct,metro_access,distance_to_it_hub_km,kiii,distance_to_airport_km,price_growth_21_25,price_growth_23_25,price_cagr,total_value_lakhs,value_per_bhk,sqft_per_bhk,connectivity_score,price_per_sqft_norm,annual_growth_rate_pct_norm,total_value_lakhs_norm,connectivity_score_norm,distance_to_it_hub_km_norm,zone_enc,type_enc,loc_enc,predicted_price_1yr,predicted_price_3yr,predicted_price_5yr,roi_1yr,roi_3yr,roi_5yr,growth_rate_index,investment_score,category,location_rank,location_insight,best_city_flag
Koramangala,12.9351,77.6206,South,Apartment,3,1920,21300,13334,14589,16551,18776,21300,13.84,0,4.9,4.8,41.1,59.74201289935503,28.693130324451694,12.422901096693039,408.96,136.32,640.0,24.549999999999997,0.9343283582089552,0.4357437242412889,0.5314621246824636,0.3554347826086956,0.1353846153846154,3,0,19,23964.0,30262.0,38217.0,12.51,42.08,79.42,17.06,34.9,Premium,40,"Koramangala commands premium pricing at Rs 21,336/sqft with a 13.3% annual growth trajectory. 5-year ROI forecast: 79.6%. Best suited for high-net-worth portfolio diversification.",0
Hsr Layout,12.9129,77.6409,South,Apartment,3,2060,14450,8398,9323,10789,12486,14450,17.48,0,6.2,7.7,39.7,72.06477732793523,33.9327092408935,14.530984578851601,297.67,99.22333333333334,686.6666666666666,23.95,0.5253731343283582,0.5721243911577371,0.37697636002720747,0.3423913043478261,0.1753846153846154,3,0,11,16521.0,21667.0,28463.0,14.33,49.94,96.98,20.56,48.0,High Growth,15,Hsr Layout is among the fastest appreciating micro-markets with 15.7% YoY growth. Investment score: 46/100. Projected 3-year ROI: 50.2%. Ideal for growth-oriented investors with a medium horizon.,0
Jp Nagar,12.904,77.5884,South,Apartment,3,2100,8800,6362,6769,7388,8063,8800,9.84,1,8.4,7.1,38.4,38.321282615529704,19.112073632918243,8.448175968166094,184.8,61.6,700.0,47.400000000000006,0.1880597014925373,0.28587485949793934,0.22029733894140677,0.8521739130434783,0.24307692307692308,3,0,16,9527.0,11245.0,13321.0,8.26,27.78,51.38,11.67,49.2,Stable,2,Jp Nagar offers steady 9.1% annual appreciation. Investment score: 47/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 50.3%.,0
Nagarbhavi,12.9649,77.5057,West,Apartment,1,460,6250,5095,5297,5597,5915,6250,4.84,0,19.1,7.5,40.9,22.669283611383708,11.66696444523852,5.240755529554764,28.75,28.75,460.0,10.45,0.03582089552238806,0.09853877856875234,0.003678563000596897,0.04891304347826087,0.5723076923076924,4,0,25,6587.0,7281.0,8112.0,5.39,16.5,29.79,6.69,21.7,Budget,126,Nagarbhavi offers steady 5.7% annual appreciation. Investment score: 23/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 29.2%.,0
Jp Nagar,12.9079,77.5888,South,Apartment,1,610,10250,7411,7885,8606,9392,10250,10.5,1,9.5,6.1,39.5,38.30792065848064,19.102951429235418,8.445556826089229,62.525,62.525,610.0,45.75,0.2746268656716418,0.310603222180592,0.05056288954594039,0.8163043478260869,0.27692307692307694,3,0,16,11170.0,13056.0,15189.0,8.98,27.38,48.19,11.93,47.4,High Potential,39,Jp Nagar offers steady 9.1% annual appreciation. Investment score: 47/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 50.3%.,0
Kr Puram,13.0096,77.6962,East,Apartment,2,1160,9000,4733,5358,6369,7571,9000,20.96,1,6.0,7.3,33.5,90.15423621381787,41.3094677343382,17.42930789476469,104.4,52.2,580.0,52.25,0.2,0.7025103034844512,0.1086911256402782,0.9576086956521739,0.16923076923076924,1,0,20,10534.0,14492.0,20005.0,17.04,61.02,122.28,24.81,76.5,High Potential,6,"Kr Puram presents an emerging opportunity — current price Rs 9,567/sqft is still accessible, while connectivity score of 51 and 18.8% growth signal strong upside. 5-year ROI estimate: 123.3%. Early-entry advantage recommended.",0
Marathahalli,12.9577,77.6992,East,Apartment,3,1860,9750,6156,6724,7611,8614,9750,14.13,0,2.9,9.3,42.5,58.38206627680312,28.104059913283407,12.182858289275478,181.35,60.449999999999996,620.0,25.85,0.24477611940298508,0.4466092169351818,0.21550826635572398,0.3836956521739131,0.07384615384615384,1,0,23,10937.0,13764.0,17310.0,12.17,41.17,77.54,16.94,46.0,Stable,76,Marathahalli offers steady 13.3% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 77.6%.,0
Kanakapura Road,12.8649,77.5841,South,Apartment,1,670,7950,5484,5888,6508,7193,7950,9.83,1,8.8,8.5,46.4,44.967177242888404,22.157344806392132,9.727989186210095,53.265,53.265,670.0,43.0,0.1373134328358209,0.28550018733608096,0.037708741098571606,0.7565217391304347,0.25538461538461543,3,0,17,8737.0,10542.0,12703.0,9.9,32.6,59.79,12.88,48.7,Stable,98,"Kanakapura Road presents an emerging opportunity — current price Rs 8,481/sqft is still accessible, while connectivity score of 44 and 10.4% growth signal strong upside. 5-year ROI estimate: 59.0%. Early-entry advantage recommended.",0
Anjanapura,12.8538,77.5731,South,Apartment,1,470,6150,4714,4959,5328,5724,6150,6.33,0,11.8,9.6,45.5,30.462452269834532,15.427927927927929,6.87383272374722,28.905,28.905,470.0,15.45,0.029850746268656716,0.15436493068565008,0.0038937242327072834,0.15760869565217392,0.3476923076923077,3,0,0,6574.0,7505.0,8590.0,6.89,22.03,39.67,8.79,27.9,Stable,92,Anjanapura offers steady 7.5% annual appreciation. Investment score: 28/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 39.4%.,0
Anjanapura,12.8525,77.5705,South,Apartment,3,1490,5850,4484,4717,5068,5445,5850,8.17,0,12.7,9.4,47.3,30.463871543264943,15.430149960536701,6.874123387018072,87.165,29.055000000000003,496.6666666666667,13.650000000000002,0.011940298507462687,0.22330460846759087,0.08476658476658477,0.11847826086956528,0.37538461538461537,3,0,0,6251.0,7147.0,8183.0,6.85,22.17,39.88,9.53,29.6,Stable,27,Anjanapura offers steady 7.5% annual appreciation. Investment score: 28/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 39.4%.,0
